"Z13U_REC_KEY","Z13_TITLE","Z13_IMPRINT","CONTROL_NUMBER","Z13_UPDATE_DATE"
"000912986","Double suicide.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113243","20150715"
"000912987","Fires on the plain.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113245","20150715"
"000913612","SECRETS OF BONES COLLECTION","BBCActive","(CaSfKAN)kan118027","20150715"
"000911801","Three colors. Red.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113363","20150715"
"000911806","Chronicle of a summer.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113373","20150715"
"000911874","The bitter tears of Petra Von Kant.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113511","20150715"
"000911879","Veronika Voss.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113521","20150715"
"000911922","DSM 5 guided collection, Vol 5 : Anxiety Disorders, Obsessive-Compulsive and Related Disorders, and","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1119376","20150715"
"000911927","DSM 5 guided collection, Vol 3 : Schizophrenia and Other Psychotic Disorders.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1118302","20150715"
"000911970","Faces of the enemy.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1116242","20150715"
"000911975","Keita : the heritage of the griot.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1116252","20150715"
"000912612","Pioneers of the cinema : the herstory / directed and produced by Ally Acker.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1048141","20150715"
"000912613","Producers on producing / directed and produced by Ally Acker.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1048139","20150715"
"000912614","Screenwriters on screenwriting / directed and produced by Ally Acker.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1048123","20150715"
"000912615","Actresses turned producer/director / directed and produced by Ally Acker.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1048127","20150715"
"000912616","directed and produced by Ally Acker. Directors on directing. Part 1 /","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1048131","20150715"
"000912617","Directors on directing. Part 2 / directed and produced by Ally Acker.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1048133","20150715"
"000912618","Early directors on directing / directed and produced by Ally Acker.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1048137","20150715"
"000912619","Editors on editing / directed and produced by Ally Acker.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1048125","20150715"
"000912620","The Giorgio Mangiamele Collection : Clay / produced by Giorgio Mangiamele.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1059349","20150715"
"000912621","The Giorgio Mangiamele Collection : Il Contratto / produced by Giorgio Mangiamele.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1059343","20150715"
"000912622","The Giorgio Mangiamele Collection : ninety-nine per cent / produced by Giorgio Mangiamele.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1059347","20150715"
"000912623","The Giorgio Mangiamele Collection : the spag. (released and unreleased versions) / produced by Giorg","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1059345","20150715"
"000912624","Stash 76.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1066219","20150715"
"000912625","Stash 77.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1066155","20150715"
"000912626","Stash 78.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1066083","20150715"
"000912627","Stash 80.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1065947","20150715"
"000912628","Stash 81.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1065883","20150715"
"000912629","Stash 82.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1065821","20150715"
"000912630","Stash 83.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1065753","20150715"
"000912631","Stash 84.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1065689","20150715"
"000912632","Stash 89.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1069184","20150715"
"000912633","Stash 90.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1072712","20150715"
"000912634","Stash 91.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1072620","20150715"
"000912635","Stash 92.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1071992","20150715"
"000912636","Stash 93.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1073551","20150715"
"000912637","Stash 97.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1084854","20150715"
"000912638","Stash 85.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1065623","20150715"
"000912639","The art of documentary editing.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1064879","20150715"
"000912640","Stash 86.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1066333","20150715"
"000912988","Floating weeds.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113247","20150715"
"000912989","Harakiri.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113249","20150715"
"000912990","Ikiru.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113251","20150715"
"000912991","Rashomon.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113253","20150715"
"000912992","Red Beard.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113255","20150715"
"000912993","The 47 Ronin. Part 1.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113259","20150715"
"000912994","The 47 Ronin. Part 2.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113261","20150715"
"000912995","The Makioka sisters.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113263","20150715"
"000912996","Throne of blood.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113265","20150715"
"000912997","Tokyo story.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113267","20150715"
"000912998","Ugetsu.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113269","20150715"
"000912999","When a woman ascends the stairs.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113271","20150715"
"000913000","The Japanese collection. Vol. 2.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113273","20150715"
"000913001","An Autumn afternoon.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113275","20150715"
"000913002","High and low.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113277","20150715"
"000913003","Late Autumn.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113279","20150715"
"000913004","Late spring.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113281","20150715"
"000913005","Samurai. I.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113283","20150715"
"000913006","Samurai. II.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113285","20150715"
"000913007","Samurai. III.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113287","20150715"
"000913008","Samurai rebellion.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113289","20150715"
"000913009","Sanjuro.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113291","20150715"
"000913010","Sansho the bailiff.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113293","20150715"
"000913011","Street of shame.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113295","20150715"
